移动央视,#genre#
京视剧场,http://223.110.241.139:6610/gitv/live1/G_JINGJU/G_JINGJU/
新娱乐,http://223.110.241.139:6610/gitv/live1/G_XINYULE/G_XINYULE/
家庭理财,http://223.110.241.139:6610/gitv/live1/G_JIATINGLC/G_JIATINGLC/
发现之旅,http://223.110.241.139:6610/gitv/live1/G_FAXIANZL/G_FAXIANZL/
弈坛春秋,http://223.110.241.139:6610/gitv/live1/G_YITANCQ/G_YITANCQ/
老故事,http://223.110.241.139:6610/gitv/live1/G_LAOGUSHI/G_LAOGUSHI/
女性时尚,http://223.110.241.139:6610/gitv/live1/G_NVXINGSS/G_NVXINGSS/
现代女性,http://223.110.241.139:6610/gitv/live1/G_XIANDAINX/G_XIANDAINX/
高尔夫,http://223.110.241.139:6610/gitv/live1/G_GAOERFU/G_GAOERFU/
职业指南,http://223.110.241.139:6610/gitv/live1/G_ZHIYEZN/G_ZHIYEZN/
证券资讯,http://223.110.241.139:6610/gitv/live1/G_ZHENGJUANZX/G_ZHENGJUANZX/
中国交通频道,http://223.110.241.139:6610/gitv/live1/G_ZHONGGUOJT/G_ZHONGGUOJT/
国学频道,http://223.110.241.139:6610/gitv/live1/G_GUOXUE/G_GUOXUE/
篮球,http://223.110.241.139:6610/gitv/live1/G_LANQIU/G_LANQIU/
卡酷少儿,http://223.110.241.139:6610/gitv/live1/G_KAKU/G_KAKU/
金鹰卡通,http://223.110.241.139:6610/gitv/live1/G_JINYING/G_JINYING/
炫动卡通,http://223.110.241.139:6610/gitv/live1/G_XUANDONG/G_XUANDONG/
移动江苏,#genre#
江苏卫视超清,http://223.110.241.139:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
江苏教育,http://223.110.241.139:6610/gitv/live1/G_JSJY/G_JSJY/
江苏城市,http://223.110.241.139:6610/gitv/live1/G_JSCS/G_JSCS/
江苏公共,http://223.110.241.139:6610/gitv/live1/G_JSGG/G_JSGG/
江苏影视,http://223.110.241.139:6610/gitv/live1/G_JSYS/G_JSYS/
江苏休闲体育,http://223.110.241.139:6610/gitv/live1/G_JSTY/G_JSTY/
江苏综艺,http://223.110.241.139:6610/gitv/live1/G_JSZY/G_JSZY/
好享购,http://223.110.241.139:6610/gitv/live1/G_HAOXIANG/G_HAOXIANG/
南京新闻综合,http://223.110.241.139:6610/gitv/live1/G_NJXW/G_NJXW/
南京科教,http://223.110.241.139:6610/gitv/live1/G_NJJK/G_NJJK/
南京十八,http://223.110.241.139:6610/gitv/live1/G_NJSB/G_NJSB/
移动蓝光,#genre#
湖南卫视超清-8M,http://223.110.241.139:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/
江苏卫视超清,http://223.110.241.139:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
北京卫视超清-8M,http://223.110.241.139:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
浙江卫视超清,http://223.110.241.139:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ/
东方卫视超清-8M,http://223.110.241.139:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/
CCTV-1蓝光,http://223.110.241.139:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ/
CCTV-2蓝光,http://223.110.241.139:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ/
CCTV-3蓝光,http://223.110.241.139:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ/
CCTV-4蓝光,http://223.110.241.139:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ/
CCTV-5蓝光,http://223.110.241.139:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ/
CCTV-5+蓝光,http://223.110.241.139:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ/
CCTV-6蓝光,http://223.110.241.139:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ/
CCTV-8蓝光,http://223.110.241.139:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ/
CCTV-1,http://223.110.241.139:6610/gitv/live1/G_CCTV-1/G_CCTV-1/
CCTV-2,http://223.110.241.139:6610/gitv/live1/G_CCTV-2/G_CCTV-2/
CCTV-3,http://223.110.241.139:6610/gitv/live1/G_CCTV-3-HD/G_CCTV-3-HD/
CCTV-5,http://223.110.241.139:6610/gitv/live1/G_CCTV-5-HD/G_CCTV-5-HD/
CCTV-8,http://223.110.241.139:6610/gitv/live1/G_CCTV-8/G_CCTV-8/
CETV-1,http://223.110.241.139:6610/gitv/live1/G_CETV-1/G_CETV-1/
CETV-2,http://223.110.241.139:6610/gitv/live1/G_CETV-2/G_CETV-2/
CETV-4,http://223.110.241.139:6610/gitv/live1/G_CETV-4/G_CETV-4/
CETV-3,http://223.110.241.139:6610/gitv/live1/G_




江苏频道,#genre#
南京信息 8M1080,http://ott.mobaibox.com/PLTV/3/224/3221227730/index.m3u8
南京娱乐 8M1080,http://ott.mobaibox.com/PLTV/3/224/3221227722/index.m3u8
南京新闻综合 8M1080,http://ott.mobaibox.com/PLTV/3/224/3221227213/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228078/index.m3u8
东海综合 3M1080,http://ott.mobaibox.com/PLTV/3/224/3221227792/index.m3u8
仪化有线 3M1080,http://ott.mobaibox.com/PLTV/3/224/3221227702/index.m3u8
南通2 4M1080,http://ott.mobaibox.com/PLTV/3/224/3221228448/index.m3u8
南通3 4M1080,http://ott.mobaibox.com/PLTV/3/224/3221228451/index.m3u8
南通新闻综合 4M1080,http://ott.mobaibox.com/PLTV/3/224/3221228462/index.m3u8
宝应新闻综合 4M1080,http://ott.mobaibox.com/PLTV/3/224/3221228007/index.m3u8
宝应生活资讯 4M1080,http://ott.mobaibox.com/PLTV/3/224/3221228039/index.m3u8
崇川 4M1080,http://ott.mobaibox.com/PLTV/3/224/3221228533/index.m3u8
徐州1 2.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221225945/index.m3u8
徐州2 2.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221225947/index.m3u8
徐州3 2.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221225949/index.m3u8
徐州4 2.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221225951/index.m3u8
沛县文艺影视 2.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221227681/index.m3u8
沛县新闻综合 2.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221227678/index.m3u8
沛县经济生活 2.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221227611/index.m3u8
盐城1 3M1080,http://ott.mobaibox.com/PLTV/3/224/3221228435/index.m3u8
盐城2 3M1080,http://ott.mobaibox.com/PLTV/3/224/3221228433/index.m3u8
盐城3 3M1080,http://ott.mobaibox.com/PLTV/3/224/3221228436/index.m3u8
睢宁三农 2.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221227709/index.m3u8
睢宁生活教育 2.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221227701/index.m3u8
睢宁综合 2.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221227706/index.m3u8
睢宁资讯 2.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221227712/index.m3u8
赣榆 3M1080,http://ott.mobaibox.com/PLTV/3/224/3221228317/index.m3u8
连云港公共 2M1080,http://ott.mobaibox.com/PLTV/3/224/3221227819/index.m3u8
连云港新闻综合 2M1080,http://ott.mobaibox.com/PLTV/3/224/3221227758/index.m3u8
邳州综合 2.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221227576/index.m3u8
镇江新闻综合 3.5M1080,http://ott.mobaibox.com/PLTV/3/224/3221228246/index.m3u8
高淳新闻 4M1080,http://ott.mobaibox.com/PLTV/3/224/3221227870/index.m3u8


央视频道,#genre#
cctv1,http://ott.mobaibox.com/PLTV/3/224/3221228732/index.m3u8
